+-----+--------------------------------+---------+--------------------------+-------------------+---------------------------------------------------------------------------------------------+---------------+--------------------------------------------------------+--------------------+------+--------+--------+-----------+-----------+-------+----------+----------+----------+---------+-----------+--------------------+--------------------+--------------+-------------------+-------------+
|  id |              name              |   size  |    manufacturer_name     | manufacturer_code |                                             url                                             |     status    |                        loaners                         |        mass        | beam | height | length | scm_speed | max_speed | cargo | max_crew | min_crew | buy_auec | buy_usd | rent_auec | ins_std_claim_time | ins_exp_claim_time | ins_exp_cost | has_quantum_drive | has_gravlev |
+-----+--------------------------------+---------+--------------------------+-------------------+---------------------------------------------------------------------------------------------+---------------+--------------------------------------------------------+--------------------+------+--------+--------+-----------+-----------+-------+----------+----------+----------+---------+-----------+--------------------+--------------------+--------------+-------------------+-------------+
| 159 |              100i              |   snub  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-100/100i               |  Flight Ready |                           []                           |       48143        |  11  |   4    |  19.3  |    210    |    1000   |   2   |    1     |    1     |  654000  |    50   |    None   |      00:01:16      |      00:00:00      |     635      |       False       |    False    |
| 160 |              125a              |   snub  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-100/125a               |  Flight Ready |                           []                           |       48143        |  11  |   4    |  19.3  |    230    |    1150   |   2   |    1     |    1     |  791000  |    60   |    None   |      00:01:16      |      00:00:00      |     635      |       False       |    False    |
| 161 |              135c              |   snub  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-100/135c               |  Flight Ready |                           []                           |       48143        |  11  |   4    |  19.3  |    190    |    1095   |   6   |    1     |    1     |  839000  |    65   |    None   |      00:01:21      |      00:00:00      |     675      |       False       |    False    |
|  7  |              300i              |  small  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-300/300i               |  Flight Ready |                           []                           |       79677        |  17  |   8    |   27   |    203    |    1188   |   8   |    1     |    1     |  767200  |    60   |   23016   |      00:06:05      |      00:02:01      |     3034     |       False       |    False    |
|  8  |              315p              |  small  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-300/315p               |  Flight Ready |                           []                           |       80592        |  17  |   8    |   27   |    210    |    1223   |   12  |    1     |    1     |  882600  |    65   |    None   |      00:06:25      |      00:02:08      |     3210     |       False       |    False    |
|  9  |              325a              |  small  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-300/325a               |  Flight Ready |                           []                           |       79324        |  17  |   8    |   27   |    224    |    1234   |   4   |    1     |    1     |  944200  |    70   |    None   |      00:07:05      |      00:02:22      |     3545     |       False       |    False    |
|  10 |              350r              |  small  |     Origin Jumpworks     |        ORIG       |               https://robertsspaceindustries.com/pledge/ships/origin-300/350r               |  Flight Ready |                           []                           |       88107        |  17  |   8    |   27   |    258    |    1347   |   4   |    1     |    1     | 1602100  |   125   |    None   |      00:08:06      |      00:02:42      |     4050     |       False       |    False    |
| 223 |              400i              |  large  |     Origin Jumpworks     |        ORIG       |                  https://robertsspaceindustries.com/pledge/ships/400i/400i                  |  Flight Ready |          ['Constellation Andromeda', '325a']           |     430057.06      |  32  |  12.5  |   60   |    185    |    1250   |   42  |    3     |    1     |   None   |   250   |    None   |      00:16:12      |      00:05:24      |     8100     |       False       |    False    |
| 141 |         600i Explorer          |  large  |     Origin Jumpworks     |        ORIG       |              https://robertsspaceindustries.com/pledge/ships/600i/600i-Explorer             |  Flight Ready |                           []                           |      1622067       |  52  |   17   |  91.5  |    109    |    955    |   40  |    5     |    2     | 9475100  |   475   |   142126  |        None        |        None        |     None     |       False       |    False    |
| 140 |          600i Touring          |  large  |     Origin Jumpworks     |        ORIG       |              https://robertsspaceindustries.com/pledge/ships/600i/600i-Touring              |  Flight Ready |                           []                           |      1613414       |  52  |   17   |  91.5  |    109    |    955    |   16  |    5     |    3     | 9894000  |   435   |    None   |      00:35:06      |      00:11:42      |    17550     |       False       |    False    |
